wd,wdLabel,Tags
Q23413,castle,historic=castle
Q751876,château,historic=castle
Q82117,city gate,historic=city_gate
Q16748868,city walls,historic=citywalls
Q1785071,fort,historic=fort
Q879050,manor house,historic=manor
Q5003624,memorial,historic=memorial
Q10145,milestone,historic=milestone
Q84163056,Royal Saxon milestone,historic=milestone
Q4989906,monument,historic=monument
Q16560,palace,historic=palace
Q241212,pillory,historic=pillory
Q109607,ruins,historic=ruins
Q815241,runestone,historic=rune_stone
Q24566025,Norse runestone,historic=rune_stone
Q575727,museum ship,historic=ship
Q381885,tomb,historic=tomb
Q65954323,tree shrine,historic=tree_shrine
Q2309609,wayside cross,historic=wayside_cross
Q3395121,wayside shrine,historic=wayside_shrine
Q852190,shipwreck,historic=wreck
Q1191753,bus garage,industrial=depot
Q22812402,signpost,information=guidepost
Q884257,tactile map,information=tactile_model
Q2744831,Center pivot irrigation,irrigation=pivot
Q2642279,Jughandle,junction=jughandle
Q1525,roundabout,junction=roundabout
Q5350656,Single-point urban interchange,junction=spui
Q59772,lime kiln,kiln=lime
Q25391,dune,landform=dune_system
Q89021074,dune system,landform=dune_system
Q332784,esker,landform=esker
Q17155155,raised beach,landform=raised_beach
Q8054653,allotment,landuse=allotments
Q813672,basin,landuse=basin
Q896586,brownfield land,landuse=brownfield
Q39614,cemetery,landuse=cemetery
Q338313,business park,landuse=commercial
Q1133961,commercial district,landuse=commercial
Q360418,construction site,landuse=construction
Q188869,field,landuse=farmland
Q3395383,agricultural land,landuse=farmland
Q42811590,farmyard,landuse=farmyard
Q2586008,commercial forest,landuse=forest
Q207766,lawn,landuse=grass
Q12018455,greenfield land,landuse=greenfield
Q329683,industrial park,landuse=industrial
Q152810,landfill,landuse=landfill
Q7777019,meadow,landuse=meadow
Q236371,orchard,landuse=orchard
Q155511,plant nursery,landuse=plant_nursery
Q188040,quarry,landuse=quarry
Q88941642,millstones of Valmeriana,landuse=quarry
Q55493,goods station,landuse=railway
Q800279,railway facility,landuse=railway
Q2063507,recreation area,landuse=recreation_ground
